1533601348.766782	1533601361.0262098	0	168.0	
1533601361.0400746	1533601375.0432086	
1533601375.0580513	1533601389.0619671	
1533601389.0800898	1533601401.8480597	0	319.56	
1533601401.8634663	1533601415.871961	
1533601415.8887978	1533601429.900363	
1533601429.917039	1533601443.9293609	
1533601443.9454536	1533601457.957906	
1533601457.9747305	1533601471.9881716	
1533601472.0039458	1533601486.009952	
1533601486.0258946	1533601500.033564	
1533601500.0500352	1533601514.0585449	
1533601514.0746074	1533601528.0885022	
1533601528.1041832	1533601542.1063364	
