1533580826.9675443	1533580837.4637525	0	168.0	
1533580837.4785047	1533580848.421367	0	139.09	
1533580848.437742	1533580858.9846601	0	545.61	
1533580858.999984	1533580869.3569236	0	438.25	
1533580869.3724189	1533580880.096444	0	564.75	
1533580880.1128602	1533580891.0262263	1	387.83	
1533580891.0422747	1533580902.2429192	1	497.58	
1533580902.2588751	1533580913.139505	1	305.25	
1533580913.15582	1533580924.0425022	0	503.98	
1533580924.0583282	1533580934.4135268	0	492.3	
1533580934.4299476	1533580945.3355749	0	703.49	
1533580945.3499815	1533580955.833573	1	215.61	
1533580955.8491268	1533580966.1723084	0	675.01	
1533580966.1877985	1533580977.1924963	0	658.59	
1533580977.2099612	1533580988.3239777	0	308.38	
1533580988.3393903	1533580999.6424117	0	160.16	
1533580999.6589222	1533581010.9543507	0	358.87	
1533581010.9698162	1533581022.4576335	1	564.2	
1533581022.473276	1533581034.4532273	0	681.14	
1533581034.4687316	1533581045.6299052	0	390.24	
